code,level,type,localPrefix,name,postCode
63.10.05.2019,4,DESA,Desa,Karang Mulya,72272
63.10.05.2020,4,DESA,Desa,Harapan Jaya,72272
63.10.05.2021,4,DESA,Desa,Wonorejo,72272
63.10.05.2022,4,DESA,Desa,Karang Sari,72272
63.10.05.2023,4,DESA,Desa,Tamunih,72272
63.10.05.2024,4,DESA,Desa,Dadap Kusan Raya,72272
63.10.05.2025,4,DESA,Desa,Batu Bulan,72272
63.10.06,3,KECAMATAN,Kecamatan,Simpang Empat,
63.10.06.1001,4,KELURAHAN,Kelurahan,Kampung Baru,72212
63.10.06.1002,4,KELURAHAN,Kelurahan,Tungkaran Pangeran,72213
63.10.06.2003,4,DESA,Desa,Sari Gadung,72211
63.10.06.2004,4,DESA,Desa,Mekar Sari,72211
63.10.06.2005,4,DESA,Desa,Sungaidua,72211
63.10.06.2006,4,DESA,Desa,Batu Ampar,72213
63.10.06.2007,4,DESA,Desa,Gunungbesar,72213
63.10.06.2008,4,DESA,Desa,Pulaupanjang,72213
63.10.06.2009,4,DESA,Desa,Baroqah,72213
63.10.06.2010,4,DESA,Desa,Bersujud,72213
63.10.06.2011,4,DESA,Desa,Sejahtera,72213
63.10.06.2012,4,DESA,Desa,Gunungantasari,72213
63.10.07,3,KECAMATAN,Kecamatan,Karang Bintang,
63.10.07.2001,4,DESA,Desa,Karang Bintang,72211
63.10.07.2002,4,DESA,Desa,Pandan Sari,72211
63.10.07.2003,4,DESA,Desa,Rejo Winangun,72211
63.10.07.2004,4,DESA,Desa,Selaselilau,72211
63.10.07.2005,4,DESA,Desa,Pematang Ulin,72211
63.10.07.2006,4,DESA,Desa,Batu Licin Irigasi,72211
63.10.07.2007,4,DESA,Desa,Manunggal,72211
63.10.07.2009,4,DESA,Desa,Sumber Wangi,72211
63.10.07.2010,4,DESA,Desa,Madu Retno,72211
63.10.07.2011,4,DESA,Desa,Maju Sejahtera,72211
63.10.07.2012,4,DESA,Desa,Karang Rejo,72211
63.10.08,3,KECAMATAN,Kecamatan,Mantewe,
63.10.08.2001,4,DESA,Desa,Mantewe,72211
63.10.08.2002,4,DESA,Desa,Dukuh Rejo,72211
63.10.08.2003,4,DESA,Desa,Rejosari,72211
63.10.08.2004,4,DESA,Desa,Suka Damai,72211
63.10.08.2005,4,DESA,Desa,Bulu Rejo,72211
63.10.08.2006,4,DESA,Desa,Sido Mulyo,72211
63.10.08.2008,4,DESA,Desa,Sepakat,72211
63.10.08.2009,4,DESA,Desa,Sari Mulya,72211
63.10.08.2010,4,DESA,Desa,Emil Baru,72211
63.10.08.2011,4,DESA,Desa,Mentawakan Mulia,72211
63.10.08.2012,4,DESA,Desa,Maju Mulyo,72211
