53	Nusa Tenggara Timur
2017	Lewogeka
2018	Lamawai
2019	Kawuta
:08	Adonara Barat
2008	Duanur
2010	Bukit Seburi I
2011	Waiwadan
2012	Danibao
2013	Pajinian
2014	Ile Pati
2015	Wureh
2016	Tonuwotan
2017	Hurung
2019	Bungalima
2021	Homa
2024	Bukit Seburi II
2026	Kimakamak
2030	Watobaya
2032	Nimun Danibao
2033	Waitukan
2035	Wolokibang
2036	Riangpadu
:09	Wotan Ulumando
2001	Wailebe
2002	Wotanulumado
2003	Nayubaya
2004	Oyangbarang
2005	Kawela
2006	Klukengnuking
2007	Pandai
2008	Bliko
2009	Samsoge
2011	Tobilota
2012	Tana Tukan
2013	Demondei
:10	Adonara Timur
1001	Waiwerang Kota
1002	Lamatwelu
2003	Dawataa
2004	Teromh
2005	Bilal
2006	Lamahala Jaya
2007	Waiburak
2008	Narasaosina
2009	Karinglamalouk
2010	Tuawolo
2011	Kiwangona
2012	Tapobali
2013	Lewobunga
2014	Belota
2015	Ipi Ebang
2016	Lamalata
2017	Puhu
2018	Kwaelaga Lamawato
2019	Gelong
2020	Lelen Bala
2021	Saosina
:11	Kelubagolit
2001	Rodentena
2002	Adolaba
2003	Hinga
2004	Lamapaha
2005	Sukutokan
2006	Nisakarang
2007	Muda
2008	Horinara
2009	Pepakelu
2010	Lambunga
2012	Mangaaleng
2019	Keluwain
:12	Witihama
2001	Watololong
2002	Tuagoetobi
2003	Weranggere
2004	Oringbele
2005	Watoone
2006	Lamabelawa
2007	Pledo
2008	Lewopulo
2009	Sandosi
2010	Balaweling
2011	Tobitika
2012	Riangduli
2013	Waiwuring
2014	Baobage
2015	Lamaleka
2016	Balaweling Noten
:13	Ile Boleng
2001	Bedalewun
2002	Lebanuba
2003	Rianwale
2004	Bungalawan
2005	Lamawolo
2006	Helanlangowuyo
2007	Lewopao
2008	Nelereren
2009	Boleng
2010	Neleblolong
2011	Duablolong
2012	Lewokeleng
2013	Nelelamawangi
2014	Harubala
2015	Nelelamadike
2016	Lamabayung
2017	Lewat
2018	Dokeng
2019	Bayuntaa
2020	Nobo
2021	Nelelamawangi Dua
:14	Demon Pagong
2001	Lamika
2002	Watotika Ile
2003	Lewokluok
2004	Blepanawa
2005	Kawalelo
2006	Bama
2007	Lewomuda
:15	Lewolema
2001	Ile Padung
2002	Bantala
2003	Sinar Hading
2004	Paingnapang
2005	Baluk Herin
2006	Riangkotek
2007	Lewobelen
:16	Ile Bura
2001	Riangbura
2002	Birawan
2003	Nurri
2004	Nobokonga
2005	Lewoawang
2006	Dulipali
2007	Riang Rita
:17	Adonara
2001	Sagu
2002	Kolimasang
2003	Kolilanang
2004	Tikatukan
2005	Nisa Nulan
2006	Lamahoda
2007	Adonara
2008	Kolipetung
:18	Adonara Tengah
2001	Horowura
2002	Kokotobo
2003	Lite
2004	Kenotan
2005	Nubalema
2006	Wewit
2007	Lewobele
2008	Baya
2009	Bidara
2010	Oesayang
2011	Hoko Horowura
2012	Lewopao
2013	Nubalema Dua
:19	Solor Selatan
2001	Kelike
2002	Kelike Aimatan
2003	Sulengwaseng
2004	Kenere
2005	Lemanu
2006	Lewograran
2007	Bubuatagamu
.07	Sikka
:01	Paga
2001	Masabewa
2003	Wolowiro
2004	Mbengu
2005	Paga
2008	Lenandareta
2012	Mauloo
2013	Wolorega
2015	Wolowona
:02	Mego
2001	Bhera
2002	Dobo
2003	Gera
2004	Liakutu
2005	Parabubu
2006	Wolodhesa
2007	Korobhera
2008	Napugera
2009	Kowi
2010	Dobo Nuapuu
:03	Lela
2001	Lela
2002	Watutedang
2003	Korowuwu
2004	Kolidetung
2005	Sikka
2006	Iligai
2007	Hepang
2008	Baopaat
2009	Du
:04	Nita
2001	Nita
2002	Takaplager
2003	Tebuk
2004	Ladogahar
2005	Nitakloang
2006	Wuliwutik
2007	Lusitada
2008	Bloro
2009	Riit
2010	Tilang
2011	Nirangkliung
2017	Mahebora
:05	Alok
1006	Madawat
1007	Nangalimang
1008	Kabor
1009	Kota Uneng
2014	Pemana
2015	Samparong
2016	Gunung Sari
:06	Palue
2001	Maluriwu
2002	Reruwairere
2003	Tuanggeo
2004	Ladolaka
2005	Nitunglea
2006	Rokirole
2007	Kesokoja
2008	Lidi
:07	Nelle
2002	Nelle Urung
2003	Nelle Wutung
2004	Nelle Barat
2005	Nella Lorang
2006	Manubura
:08	Talibura
2001	Darat Gunung
2002	Ojang
2003	Hikong
2006	Nebe
2007	Wailamung
2008	Lewomada
2010	Nangahale
2011	Darat Pantai
2013	Talibura
2014	Kringa
2015	Bangkoor
2017	Timutawa
:09	Waigete
2001	Runut
2002	Egon
2003	Pogon
2004	Aibura
2005	Wairbleler
2006	Hoder
2007	Wairterang
2008	Nangatobong
2009	Watudiran
:10	Kewapante
2005	Seusina
2007	Kopong
2008	Namangkewa
2009	Iantena
2016	Umagera
2020	Geliting
2021	Waiara
2024	Wairkoja
:11	Bola
2001	Hokor
2002	Wolonwalu
2003	Wolokoli
2004	Bola
2005	Umauta
2006	Ipir
:12	Magepanda
2001	Magepanda
2002	Reroroja
2003	Done
2004	Kolisia
2005	Kolisia B
:13	Waiblama
2001	Natarmage
2002	Tanarawa
2003	Pruda
2004	Werang
2005	Tua Bao
2006	Ilinmedo
:14	Alok Barat
1001	Hewuli
1002	Wailiti
1003	Wolomarang
1004	Wuring
:15	Alok Timur
1001	Beru
1002	Kota Baru
1003	Nangameting
1004	Waioti
1005	Wairotang
2006	Koja Doi
2007	Kojagete
2008	Lepo Lima
2009	Perumaan
2010	Watugong
:16	Koting
2001	Koting A
2002	Koting B
2003	Koting C
2004	Koting D
2005	Paubekor
2006	Ribang
:17	Tana Wawo
2001	Bu Selatan
2002	Bu Utara
2003	Bu Watuweti
2004	Loke
2005	Renggarasi
2006	Detubinga
2007	Tuwa
2008	Poma
:18	Hewokloang
2001	Rubit
2002	Wolomapa
2003	Baomekot
2004	Kajowair
2005	Hewokloang
2006	Heopuat
2007	Munerana
:19	Kangae
2001	Teka Iku
2002	Mekendetung
2003	Kokowahor
2004	Balatatatin
2005	Watuliwung
2006	Tana Duen
2007	Watumilok
2008	Habi
2009	Langir
:20	Doreng
2001	Waihawa
2002	Nenbura
2003	Wogalirit
2004	Watumerak
2005	Wolonterang
2006	Kloangpopot
2007	Wolomotong
:21	Mapitara
2001	Hale
2002	Hebing
2003	Natakoli
2004	Egon Gahar
.08	Ende
:01	Nangapanda
1001	Ndorurea
2002	Ondorea
2003	Watumite
2004	Tendarea
2005	Kerirea
2006	Tendambepa
2007	Zozozea
2008	Rapowawo
2009	Nggorea
2010	Raporendu
2011	Bheramari
2012	Titwerea
