1002	Air Tawar Barat
1003	Ulak Karang Utara
1004	Ulak Karang Selatan
1005	Lolong Belanti
1006	Alai Parak Kopi
1007	Gunung Pangilun
:05	Bungus Teluk Kabung
1001	Bungus Timur
1002	Bungus Barat
1003	Bungus Selatan
1004	Teluk Kabung Utara
1005	Teluk Kabung Tengah
1006	Teluk Kabung Selatan
:06	Lubuk Begalung
1001	Cangkeh Nan XX
1002	Kampung Baru Nan XX
1003	Tanah Sirah Piai Nan XX
1004	Tanjung Saba Pitamen Nan XX
1005	Lubuk Begalung Nan XX
1006	Gurun Laweh Nan XX
1007	Tanjung Aua Nan XX
1008	Koto Baru Nan XX
1009	Banuaran Nan XX
1010	Parak Laweh Pulau Aia Nan XX
1011	Batung Taba Nan XX
1012	Pagambiran Ampalu Nan XX
1013	Pampangan Nan XX
1014	Gates Nan XX
1015	Kampung Jua Nan XX
:07	Lubuk Kilangan
1001	Indarung
1002	Padang Besi
1003	Batu Gadang
1004	Bandar Buat
1005	Koto Lalang
1006	Baringin
1007	Tarantang
:08	Pauh
1001	Limau Manis
1002	Koto Lua
1003	Limau Manis Selatan
1004	Piai Tangah
1005	Cupak Tangah
1006	Pisang
1007	Binuang Kampuang Dalam
1008	Kapalo Koto
1009	Lambung Bukik
:09	Kuranji
1001	Pasar Ambacang
1002	Anduring
1003	Lubuk Lintah
1004	Ampang
1005	Kalumbuk
1006	Korong Gadang
1007	Kuranji
1008	Gunung Sarik
1009	Sungai Sapih
:10	Nanggalo
1001	Surau Gadang
1002	Kampung Olo
1003	Kurao Pagang
1004	Gurun Laweh
1005	Tabing Banda Gadang
1006	Kampung Lapai
:11	Koto Tangah
1001	Balai Gadang
1002	Lubuk Minturun
1003	Aie Pacah
1004	Dadok Tunggul Hitam
1005	Koto Panjang Ikua Koto
1006	Koto Pulai
1007	Batipuh Panjang
1008	Padang Sarai
1009	Lubuk Buaya
1010	Batang Kabung Ganting
1011	Bungo Pasang
1012	Parupuk Tabing
1013	Pasie Nan Tigo
.72	Solok
:01	Lubuk Sikarah
1001	Tanah Garam
1002	VI Suku
1003	Sinapa Piliang
1004	IX Korong
1005	Kampai Tabu Karambia
1006	Aro IV Korong
1007	Simpang Rumbio
:02	Tanjung Harapan
1001	Koto Panjang
1002	Pasar Pandan Air Mati
1003	Tanjung Paku
1004	Nan Balimo
1005	Kampung Jawa
1006	Laing
.73	Sawahlunto
:01	Lembah Segar
1001	Aur Mulio
1002	Kubang Sirakuk Utara
1003	Kubang S. Selatan
1004	Pasar
1005	Tanah Lapang
1006	Aia Dingin
2007	Lunto Timur
2008	Lunto Barat
2009	Kubang Tangah
2010	Kubang Utara Sikabu
2011	Pasa Kubang
:02	Barangin
1001	Saringan
1002	Lubang Panjang
1003	Durian I
1004	Durian II
2005	Santua
2006	Kolok Mudiak
2007	Kolok Nan Tuo
2008	Talago Gunung
2009	Lumindai
2010	Balai Batu Sadara
:03	Silungkang
